Frame,Time (s),Label,Confidence,"Bounding Box (x1,y1,x2,y2)"
1,0.02,With Helmet,0.72,"(98,110,126,156)"
1,0.02,With Helmet,0.63,"(737,131,780,190)"
1,0.02,With Helmet,0.54,"(356,108,395,163)"
1,0.02,No Helmet,0.47,"(508,143,543,198)"
1,0.02,With Helmet,0.40,"(464,148,515,206)"
2,0.03,With Helmet,0.63,"(98,109,124,155)"
2,0.03,With Helmet,0.62,"(738,132,780,191)"
2,0.03,With Helmet,0.55,"(355,107,395,164)"
2,0.03,With Helmet,0.36,"(465,148,515,206)"
2,0.03,No Helmet,0.35,"(507,142,542,198)"
3,0.05,With Helmet,0.60,"(738,133,780,192)"
3,0.05,With Helmet,0.51,"(355,107,396,164)"
3,0.05,With Helmet,0.41,"(99,110,123,154)"
3,0.05,No Helmet,0.39,"(506,143,542,198)"
3,0.05,With Helmet,0.29,"(467,149,514,205)"
4,0.07,With Helmet,0.56,"(100,110,126,153)"
4,0.07,No Helmet,0.56,"(505,143,541,198)"
4,0.07,With Helmet,0.52,"(355,106,396,163)"
4,0.07,With Helmet,0.45,"(740,135,782,193)"
4,0.07,With Helmet,0.43,"(469,149,514,205)"
5,0.08,With Helmet,0.57,"(739,132,783,195)"
5,0.08,With Helmet,0.53,"(100,110,123,150)"
5,0.08,No Helmet,0.53,"(505,143,540,198)"
5,0.08,With Helmet,0.50,"(355,106,397,163)"
5,0.08,With Helmet,0.36,"(467,149,513,206)"
6,0.1,With Helmet,0.68,"(742,131,784,194)"
6,0.1,No Helmet,0.55,"(505,144,540,197)"
6,0.1,With Helmet,0.50,"(355,105,396,162)"
6,0.1,With Helmet,0.39,"(467,148,512,206)"
7,0.12,With Helmet,0.75,"(743,133,786,194)"
7,0.12,No Helmet,0.55,"(505,145,540,198)"
7,0.12,With Helmet,0.53,"(355,106,397,163)"
7,0.12,With Helmet,0.47,"(466,149,511,207)"
7,0.12,With Helmet,0.34,"(104,111,129,149)"
8,0.13,With Helmet,0.64,"(745,135,786,195)"
8,0.13,No Helmet,0.63,"(505,144,540,198)"
